index,reviewerName,product,reviewText,overall,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
191,"Amazon Customer ""johncrea""",PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2012-08-13,847,38,10,48,28,0.7916666666666666,0.6574109872738206
192,Neomaximus,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-05-08,579,0,0,0,0,0.0,0.0
193,C. A. Snow,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",4.0,2013-05-09,578,0,0,0,0,0.0,0.0
194,pseudonym,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2014-05-19,203,0,0,0,0,0.0,0.0
195,Bhola Bhala,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-01-08,699,0,0,0,0,0.0,0.0
196,Leonardo Lee,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2013-09-28,436,0,1,1,-1,0.0,0.0
197,Review-a,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2012-02-12,1030,0,0,0,0,0.0,0.0
198,shadez82,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-08-08,487,0,0,0,0,0.0,0.0
199,rt66west,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2013-06-07,549,0,0,0,0,0.0,0.0
200,Michael Ray Goins,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-08-28,467,0,0,0,0,0.0,0.0
201,"some guy ""some guy in ny""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",2.0,2012-11-30,738,1,0,1,1,1.0,0.2065493143772374
202,Yachtwork,Braintree,"It works well for multiple payment options, but the interface could be smoother.",4.0,2013-10-20,414,0,0,0,0,0.0,0.0
203,D. Cahill,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",4.0,2014-05-05,217,2,0,2,2,1.0,0.3423802275066531
204,Sheldon Anthony,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-10-02,67,0,0,0,0,0.0,0.0
205,Larry Roberts,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-09-01,98,0,0,0,0,0.0,0.0
206,Lance Alexander,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2013-10-25,409,0,0,0,0,0.0,0.0
207,Brian Bailey,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2013-07-11,515,0,0,0,0,0.0,0.0
208,Brandon Warren,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2014-07-14,147,0,0,0,0,0.0,0.0
209,Ali Tweel,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2013-05-26,561,0,0,0,0,0.0,0.0
210,steveo,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2013-04-14,603,0,0,0,0,0.0,0.0
211,R. Sutton,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",4.0,2013-05-31,556,0,0,0,0,0.0,0.0
212,"S. Frainier ""rfrainier""",PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2014-03-31,252,0,0,0,0,0.0,0.0
213,Lothos,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2014-04-18,234,0,0,0,0,0.0,0.0
214,jimmy martinez,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2013-09-30,434,0,0,0,0,0.0,0.0
215,PayPal Customer,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-01-26,681,0,0,0,0,0.0,0.0
216,Sourz,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2013-04-22,595,0,0,0,0,0.0,0.0
217,P. Kuhn,Xoom,"Transfers are generally quick, but the mobile app could be improved.",1.0,2013-01-15,692,0,1,1,-1,0.0,0.0
218,"Big &#34;E&#34; ""Big &#34;E&#34;""",PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-04-30,222,0,0,0,0,0.0,0.0
219,Evan Bartilson,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-12-02,6,0,0,0,0,0.0,0.0
220,Wesley Haley,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2013-03-22,626,1,0,1,1,1.0,0.2065493143772374
221,"Dave ""Dave""",PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",4.0,2014-09-06,93,0,0,0,0,0.0,0.0
222,Kenmbz,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2014-05-01,221,0,0,0,0,0.0,0.0
223,PayPal Customer,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-01-24,683,0,0,0,0,0.0,0.0
224,froemer,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",1.0,2014-01-18,324,0,0,0,0,0.0,0.0
225,Tony the Mofo Tiger,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-12-01,7,0,0,0,0,0.0,0.0
226,jmscreator,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2014-06-23,168,0,0,0,0,0.0,0.0
227,"Cowboybob ""CB""",Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-09-20,444,1,0,1,1,1.0,0.2065493143772374
228,Ashu M,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-01-10,697,0,0,0,0,0.0,0.0
229,Jason Iannazzo,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2014-03-16,267,0,0,0,0,0.0,0.0
230,Paul,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2012-12-27,711,0,0,0,0,0.0,0.0
231,masterhankshake,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2014-03-07,276,0,0,0,0,0.0,0.0
232,G. Nguyen,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2013-02-27,649,0,0,0,0,0.0,0.0
233,Hayrcc,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-01-05,337,1,0,1,1,1.0,0.2065493143772374
234,"Michael J. Eckman ""Mike""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2013-10-04,430,0,0,0,0,0.0,0.0
235,Space Cadet,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-05-20,567,1,0,1,1,1.0,0.2065493143772374
236,"Sofyah ""sofyah""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2013-09-19,445,0,0,0,0,0.0,0.0
237,preston,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2013-06-05,551,0,0,0,0,0.0,0.0
238,Engineer Brad,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-01-02,340,0,0,0,0,0.0,0.0
239,"Carl F. Otto ""Carl Otto""",PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2013-01-14,693,0,0,0,0,0.0,0.0
240,S. Hunt,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-02-01,675,0,0,0,0,0.0,0.0
241,Lucy,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2013-07-01,525,0,0,0,0,0.0,0.0
242,Alex,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-01-07,700,0,0,0,0,0.0,0.0
243,Brian J. Mcmahon,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2014-06-04,187,0,0,0,0,0.0,0.0
244,"Vincent A. Denis ""Vincent""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2014-05-27,195,0,0,0,0,0.0,0.0
245,"FuntimeGrandpa ""FuntimeGrandpa""",PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",5.0,2014-11-01,37,0,0,0,0,0.0,0.0
246,"WG Thomas ""excellentdriver""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",3.0,2013-10-07,427,0,0,0,0,0.0,0.0
247,Francisco Anaya,Xoom,"Transfers are generally quick, but the mobile app could be improved.",4.0,2013-02-01,675,0,0,0,0,0.0,0.0
248,nytowl,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2013-11-26,377,0,0,0,0,0.0,0.0
249,roland,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2014-09-06,93,0,0,0,0,0.0,0.0
250,"Campmaster Tom ""There's no place like 127.0.0.1""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2013-02-16,660,0,0,0,0,0.0,0.0
251,aljacobs,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2014-09-07,92,0,0,0,0,0.0,0.0
252,"Jack ""badbrad97""",Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2014-02-05,306,0,0,0,0,0.0,0.0
253,Michael,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",4.0,2013-06-16,540,0,0,0,0,0.0,0.0
254,"Andrew Cutler ""Big Fan""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2013-06-09,547,0,0,0,0,0.0,0.0
255,C.P.B.,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-12-13,360,0,0,0,0,0.0,0.0
256,Raymond P.,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2014-06-30,161,0,0,0,0,0.0,0.0
257,"notbraveheart ""notbraveheart""",PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-06-08,548,1,0,1,1,1.0,0.2065493143772374
258,John,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2014-09-01,98,0,0,0,0,0.0,0.0
259,Luke W,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",4.0,2013-08-08,487,0,0,0,0,0.0,0.0
260,jeanjaguar,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-03-21,627,0,0,0,0,0.0,0.0
261,hrbud,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",1.0,2013-03-26,622,0,0,0,0,0.0,0.0
262,Leonardo,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2014-09-03,96,0,0,0,0,0.0,0.0
263,Omar M.,PayPal Credit,"It helps when I need to buy something quickly, but late fees are excessive.",1.0,2013-06-15,541,0,0,0,0,0.0,0.0
264,B. Weigel,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2014-07-03,158,0,0,0,0,0.0,0.0
265,Bruce Sobocinski,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-07-02,524,1,0,1,1,1.0,0.2065493143772374
266,ProPhotog,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",2.0,2013-05-26,561,0,0,0,0,0.0,0.0
267,Cam,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-11-30,373,1,0,1,1,1.0,0.2065493143772374
268,"ffabric ""ffabric""",Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",4.0,2013-07-12,514,0,0,0,0,0.0,0.0
269,Locksmith,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2013-12-13,360,0,0,0,0,0.0,0.0
270,"Joanna57 ""joanna57""",PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2013-09-01,463,0,0,0,0,0.0,0.0
271,CoquiLostInNY,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2014-10-01,68,0,0,0,0,0.0,0.0
272,George A. Sopko,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",1.0,2013-06-01,555,0,1,1,-1,0.0,0.0
273,techsavvykat,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2014-11-02,36,0,0,0,0,0.0,0.0
274,justing6,PayPal Credit,"The service is okay, but there are better options with lower fees.",4.0,2013-01-16,691,0,0,0,0,0.0,0.0
275,delbert,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",5.0,2013-04-09,608,0,0,0,0,0.0,0.0
276,ART005,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2013-07-16,510,0,0,0,0,0.0,0.0
277,Jim Adams,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2013-10-08,426,0,0,0,0,0.0,0.0
278,"J. Banks ""Bluesman""",Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-11-20,383,0,0,0,0,0.0,0.0
279,ashu,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2014-11-02,36,0,0,0,0,0.0,0.0
280,Winafew,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2014-09-02,97,0,0,0,0,0.0,0.0
281,Tori,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2013-05-09,578,0,0,0,0,0.0,0.0
282,troy groetken,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-02-04,672,0,0,0,0,0.0,0.0
283,A.,Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-04-13,604,0,0,0,0,0.0,0.0
284,C. Dan,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2014-05-07,215,0,0,0,0,0.0,0.0
285,Manuel Mendoza,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",5.0,2013-10-12,422,0,0,0,0,0.0,0.0
286,Aaron T. Swain,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2012-07-26,865,1,1,2,0,0.5,0.0945312057342307
287,Bob,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",2.0,2014-01-22,320,0,0,0,0,0.0,0.0
288,gellikit,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2012-09-22,807,1,0,1,1,1.0,0.2065493143772374
289,Reza,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2013-06-08,548,1,0,1,1,1.0,0.2065493143772374
290,Hubert Farnsworth,PayPal Digital Wallet,"It's convenient for online shopping, though the fees can be a bit much.",3.0,2014-04-29,223,0,0,0,0,0.0,0.0
291,"PKS ""Laughing Buddha""",PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2014-01-16,326,0,0,0,0,0.0,0.0
292,Dennis Peterson,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",5.0,2014-04-26,226,0,0,0,0,0.0,0.0
293,Cleo,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2013-01-11,696,0,0,0,0,0.0,0.0
294,Stelios J. Malamamatos,Xoom,"The service is good, but sometimes the app crashes during transactions.",4.0,2013-02-02,674,0,0,0,0,0.0,0.0
295,K. Lewis,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2014-12-04,4,0,0,0,0,0.0,0.0
296,PayPal Customer,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2014-06-03,188,0,0,0,0,0.0,0.0
297,Jamie Hamel-Smith,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2014-01-07,335,0,0,0,0,0.0,0.0
298,kevin chung,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-08-01,129,0,0,0,0,0.0,0.0
299,S. Moon,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2012-12-22,716,0,0,0,0,0.0,0.0
300,"John Seidner ""John""",PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",1.0,2012-12-15,723,0,0,0,0,0.0,0.0
301,"David S. Winokur ""Photographer, Luthier""",Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2012-11-22,746,2,0,2,2,1.0,0.3423802275066531
302,Nicholas Katsaras,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2013-05-07,580,1,0,1,1,1.0,0.2065493143772374
303,G. Kohler,Braintree,"A solid service, though I had a few issues with setting it up initially.",1.0,2014-02-13,298,0,0,0,0,0.0,0.0
304,Arthur Gerhart,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2013-08-15,480,0,0,0,0,0.0,0.0
305,Darrell Tony Brown Jr,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2014-01-13,329,0,0,0,0,0.0,0.0
306,Brett D,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-11-18,385,1,1,2,0,0.5,0.0945312057342307
307,LDV,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-02-21,655,1,0,1,1,1.0,0.2065493143772374
308,Kenneth Kirkland,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2012-11-20,748,0,0,0,0,0.0,0.0
309,adg44,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2012-11-26,742,0,0,0,0,0.0,0.0
310,Jonathan Schreckengost,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2014-03-13,270,0,0,0,0,0.0,0.0
311,The Brady Report,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",1.0,2013-10-30,404,0,0,0,0,0.0,0.0
312,eldredn,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",4.0,2013-06-10,546,0,0,0,0,0.0,0.0
313,"Patrick S. Armstrong ""armstr54""",Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2013-02-01,675,0,0,0,0,0.0,0.0
314,RSprivate,PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",4.0,2013-08-25,470,0,0,0,0,0.0,0.0
315,P.L.,PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-01-27,680,0,0,0,0,0.0,0.0
316,Arnie Posadas,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-06-04,552,0,0,0,0,0.0,0.0
317,"shiv ""shiv""",Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",5.0,2013-12-14,359,1,0,1,1,1.0,0.2065493143772374
318,Sean,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-10-05,64,0,0,0,0,0.0,0.0
319,"Ernesto TOHME Hernandez ""ethom""",Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2013-01-06,701,1,0,1,1,1.0,0.2065493143772374
320,Dave Thelwell jr,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-09-04,95,0,0,0,0,0.0,0.0
321,Doru Nica,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2014-02-06,305,0,0,0,0,0.0,0.0
322,Alan,Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",4.0,2014-01-31,311,0,0,0,0,0.0,0.0
323,CPTJOHNC,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-08-05,125,0,0,0,0,0.0,0.0
324,Anon Buyer,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",4.0,2013-01-22,685,0,0,0,0,0.0,0.0
325,Chaz Ashley,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",4.0,2014-09-03,96,0,0,0,0,0.0,0.0
326,Ben Schwantes,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2014-09-02,97,0,0,0,0,0.0,0.0
327,"Ulises Bocchio ""Ulises Bocchio""",Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-05-11,576,0,0,0,0,0.0,0.0
328,Pat F.,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",4.0,2012-12-17,721,0,0,0,0,0.0,0.0
329,Some_other_guy,PayPal Merchant Services,"It's fine for basic payment processing, but the fees are a little high.",5.0,2014-06-05,186,0,0,0,0,0.0,0.0
330,WendyBird,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-02-27,284,0,0,0,0,0.0,0.0
331,"Lou S ""Woodworker""",Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2014-03-19,264,0,0,0,0,0.0,0.0
332,Robert Torres,Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",5.0,2013-04-21,596,0,0,0,0,0.0,0.0
333,gnagle8520,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-07-30,496,0,0,0,0,0.0,0.0
334,Matt B.,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2014-03-24,259,0,0,0,0,0.0,0.0
335,"Tommy Dee ""EnglishmanHi Tech""",Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-03-27,621,0,0,0,0,0.0,0.0
336,Tinfoot,PayPal Digital Wallet,"Works okay most of the time, but sometimes there are unexplained delays.",5.0,2014-08-02,128,1,0,1,1,1.0,0.2065493143772374
337,"Amazon Customer ""Christian""",Venmo,"Transfers are fast, but there are occasional bugs that make it frustrating.",1.0,2013-05-22,565,0,0,0,0,0.0,0.0
338,Learning Princess,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2012-10-31,768,0,0,0,0,0.0,0.0
339,ERK,Venmo,"I like Venmo for paying people back, but the app sometimes freezes.",5.0,2014-04-07,245,0,0,0,0,0.0,0.0
340,"Joe Lupino ""AGuyNamedJoe""",PayPal Credit,"The no-interest period helps, but approval took longer than expected.",5.0,2013-10-23,411,0,0,0,0,0.0,0.0
341,eddie,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",4.0,2013-05-13,574,0,0,0,0,0.0,0.0
342,Benjamin P.,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-09-22,442,0,0,0,0,0.0,0.0
343,"Endi ""Endiablado""",Braintree,"A solid service, though I had a few issues with setting it up initially.",5.0,2013-03-10,638,0,0,0,0,0.0,0.0
344,jimbo,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2013-10-05,429,0,0,0,0,0.0,0.0
345,Ryan W. Mccauley,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",4.0,2013-12-13,360,0,0,0,0,0.0,0.0
346,Ninja Ryan,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2013-08-10,485,0,0,0,0,0.0,0.0
347,Airedad,Braintree,"It works well for multiple payment options, but the interface could be smoother.",5.0,2012-07-25,866,15,6,21,9,0.7142857142857143,0.5004361928391441
348,M. Marhanka,PayPal Digital Wallet,"A decent service overall, but transaction speed could be improved.",5.0,2014-01-03,339,0,0,0,0,0.0,0.0
349,ROGER,Xoom,"The service is good, but sometimes the app crashes during transactions.",5.0,2014-01-30,312,0,0,0,0,0.0,0.0
350,J.Tenneyson,PayPal Merchant Services,"The service is good, but the transaction fees are too high for small businesses.",4.0,2014-01-04,338,0,0,0,0,0.0,0.0
351,"crazygirl ""kelli""",Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2014-02-24,287,0,0,0,0,0.0,0.0
352,"Radiskull ""Radiskull""",PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",4.0,2014-01-17,325,0,0,0,0,0.0,0.0
353,deezee,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2013-01-13,694,0,0,0,0,0.0,0.0
354,"Paul R. Prescott ""MilDoc""",PayPal Digital Wallet,"It's fine for sending money quickly, though customer service is hard to reach.",5.0,2013-01-05,702,0,0,0,0,0.0,0.0
355,CaffeinatedCajun,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-06-06,550,0,0,0,0,0.0,0.0
356,stephen sikorski,Xoom,"It's reliable, though I had one delayed transfer which was annoying.",5.0,2014-10-04,65,0,0,0,0,0.0,0.0
357,glindagoodwitch,PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2013-08-27,468,0,0,0,0,0.0,0.0
358,Boricua1966,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2013-04-20,597,0,0,0,0,0.0,0.0
359,KitchenBrews,PayPal Credit,"The service is okay, but there are better options with lower fees.",5.0,2013-12-31,342,0,0,0,0,0.0,0.0
360,"strongium90 ""Strongium90""",Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-04-01,251,0,0,0,0,0.0,0.0
361,T. J. L.,Venmo,"It’s great for splitting bills, but the social feed seems unnecessary.",5.0,2013-06-19,537,0,0,0,0,0.0,0.0
362,"Element ""Nina""",PayPal Digital Wallet,"I'm generally happy with the service, but there are occasional bugs in the app.",5.0,2014-08-03,127,0,0,0,0,0.0,0.0
363,Sam,Venmo,"It’s a convenient app, though I’ve had some minor issues with account verification.",5.0,2014-08-01,129,0,0,0,0,0.0,0.0
364,Tim,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",2.0,2013-11-09,394,0,0,0,0,0.0,0.0
365,Darren,Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2014-12-03,5,0,0,0,0,0.0,0.0
366,Steven J. Swanson,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",5.0,2013-08-07,488,0,0,0,0,0.0,0.0
367,"ThaCooLoser ""CooLoserTech""",PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-05-23,564,0,0,0,0,0.0,0.0
368,Hawkins,Xoom,"It’s fine for international transfers, though I wish it was more transparent with fees.",5.0,2012-10-31,768,0,0,0,0,0.0,0.0
369,Biomedted,PayPal Credit,"The service is okay, but there are better options with lower fees.",4.0,2013-12-15,358,0,0,0,0,0.0,0.0
370,blurb,Braintree,"The service is secure and reliable, but the fees are higher than competitors.",5.0,2013-08-16,479,0,0,0,0,0.0,0.0
371,mcfizzle,Braintree,"It integrates well, though the monthly costs are tough for smaller businesses.",3.0,2013-02-04,672,0,0,0,0,0.0,0.0
372,Joshua cooper,PayPal Merchant Services,"It's reliable, though the fee structure is a bit overwhelming.",5.0,2013-12-05,368,0,0,0,0,0.0,0.0
373,"Abused Commuter ""abused_commuter""",PayPal Credit,"It helps when I need to buy something quickly, but late fees are excessive.",1.0,2013-07-20,506,0,1,1,-1,0.0,0.0
374,ChrisAmr,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",5.0,2013-12-29,344,0,0,0,0,0.0,0.0
375,PayPal Customer,Venmo,"Venmo makes it easy to pay friends, but I’m not sure about the security.",1.0,2013-08-17,478,0,0,0,0,0.0,0.0
376,Amazon fan,PayPal Credit,"It's useful for larger purchases, but the interest rates are too high if you're late.",5.0,2014-04-07,245,0,0,0,0,0.0,0.0
377,S-T-R-Y-D-E-R,PayPal Credit,"PayPal Credit works well, though I feel the fees are too steep.",1.0,2014-10-03,66,1,0,1,1,1.0,0.2065493143772374
378,betty g,PayPal Merchant Services,"Payments go through smoothly, but the customer support could be faster.",5.0,2014-07-01,160,0,0,0,0,0.0,0.0
379,color me satisfied,Braintree,"It gets the job done, but there are definitely cheaper alternatives.",2.0,2013-04-20,597,0,0,0,0,0.0,0.0
380,"David ""here.david""",Xoom,"Xoom is fast for transfers, but the fees are a little higher than I expected.",5.0,2013-04-29,588,0,0,0,0,0.0,0.0
381,amishbob,PayPal Merchant Services,"I like the integration with my store, but refunds take too long.",5.0,2014-01-27,315,2,0,2,2,1.0,0.3423802275066531
382,Michael B. Gutermuth,Xoom,"Transfers are generally quick, but the mobile app could be improved.",5.0,2013-06-05,551,0,0,0,0,0.0,0.0
